SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³),IAQI1,IAQI2,IAQI3,IAQI4,IAQI5,IAQI6,AQI
12,34,58,35,74,1.0,38.0,8.0,96.0,100.0,13.0,25.0,100.0
9,36,36,13,61,1.1,41.0,5.0,14.0,31.0,20.0,22.0,41.0
12,64,61,32,47,1.2,38.0,70.0,94.0,4.0,26.0,20.0,94.0
11,69,80,47,101,1.1,39.0,64.0,85.0,85.0,99.0,22.0,99.0
10,42,58,34,88,0.7,40.0,98.0,96.0,1.0,6.0,32.0,98.0
9,32,26,11,40,1.1,41.0,10.0,24.0,34.0,30.0,22.0,41.0
12,38,40,24,63,1.0,38.0,2.0,10.0,16.0,18.0,25.0,38.0
10,36,43,25,19,1.0,40.0,5.0,7.0,14.0,40.0,25.0,40.0
9,34,36,21,54,0.9,41.0,8.0,14.0,20.0,23.0,28.0,41.0
7,40,50,32,112,0.9,43.0,100.0,100.0,4.0,90.0,28.0,100.0
8,23,45,31,128,0.8,42.0,21.0,5.0,6.0,77.0,30.0,77.0
8,18,34,24,99,0.7,42.0,28.0,16.0,16.0,0.0,32.0,42.0
8,14,28,19,85,0.6,42.0,32.0,22.0,23.0,8.0,35.0,42.0
8,11,34,23,49,0.9,42.0,36.0,16.0,17.0,26.0,28.0,42.0
7,8,11,6,39,1.0,43.0,40.0,39.0,41.0,30.0,25.0,43.0
7,8,11,5,58,0.7,43.0,40.0,39.0,43.0,21.0,32.0,43.0
7,7,14,7,76,0.6,43.0,41.0,36.0,40.0,12.0,35.0,43.0
7,8,24,17,90,0.6,43.0,40.0,26.0,26.0,5.0,35.0,43.0
8,10,30,23,110,0.5,42.0,38.0,20.0,17.0,92.0,38.0,92.0
10,19,38,29,120,0.5,40.0,26.0,12.0,9.0,83.0,38.0,83.0
9,21,41,30,116,0.5,41.0,24.0,9.0,7.0,87.0,38.0,87.0
10,20,46,32,101,0.5,40.0,25.0,4.0,4.0,99.0,38.0,99.0
8,25,49,42,56,0.6,42.0,19.0,1.0,91.0,22.0,35.0,91.0
5,10,11,6,36,0.6,45.0,38.0,39.0,41.0,32.0,35.0,45.0
6,13,17,11,30,0.7,44.0,34.0,33.0,34.0,35.0,32.0,44.0
6,9,26,15,83,0.5,44.0,39.0,24.0,29.0,8.0,38.0,44.0
6,17,27,21,35,0.7,44.0,29.0,23.0,20.0,32.0,32.0,44.0
6,7,15,8,59,0.6,44.0,41.0,35.0,39.0,20.0,35.0,44.0
6,7,18,13,81,0.6,44.0,41.0,32.0,31.0,10.0,35.0,44.0
8,16,28,22,44,0.7,42.0,30.0,22.0,19.0,28.0,32.0,42.0
6,33,55,48,54,0.8,44.0,9.0,98.0,84.0,23.0,30.0,98.0
7,24,63,56,66,0.8,43.0,20.0,94.0,74.0,17.0,30.0,94.0
6,25,25,23,59,0.7,44.0,19.0,25.0,17.0,20.0,32.0,44.0
6,22,18,12,44,0.6,44.0,22.0,32.0,33.0,28.0,35.0,44.0
5,15,18,12,40,0.7,45.0,31.0,32.0,33.0,30.0,32.0,45.0
5,4,5,3,49,0.7,45.0,45.0,45.0,46.0,26.0,32.0,46.0
5,8,19,9,86,0.6,45.0,40.0,31.0,37.0,7.0,35.0,45.0
6,17,24,15,102,0.5,44.0,29.0,26.0,29.0,98.0,38.0,98.0
6,38,39,28,103,0.6,44.0,2.0,11.0,10.0,98.0,35.0,98.0
7,34,35,26,85,0.6,43.0,8.0,15.0,13.0,8.0,35.0,43.0
6,36,34,22,98,0.6,44.0,5.0,16.0,19.0,1.0,35.0,44.0
8,35,52,41,140,0.8,42.0,6.0,99.0,92.0,67.0,30.0,99.0
8,18,37,26,135,0.6,42.0,28.0,13.0,13.0,71.0,35.0,71.0
8,15,47,25,101,0.6,42.0,31.0,3.0,14.0,99.0,35.0,99.0
8,25,39,23,94,0.6,42.0,19.0,11.0,17.0,3.0,35.0,42.0
7,26,38,21,124,0.7,43.0,18.0,12.0,20.0,80.0,32.0,80.0
6,17,25,17,83,0.6,44.0,29.0,25.0,26.0,8.0,35.0,44.0
6,26,37,23,84,0.7,44.0,18.0,13.0,17.0,8.0,32.0,44.0
7,29,39,25,94,0.7,43.0,14.0,11.0,14.0,3.0,32.0,43.0
8,18,35,22,92,0.7,42.0,28.0,15.0,19.0,4.0,32.0,42.0
8,24,30,18,74,0.7,42.0,20.0,20.0,24.0,13.0,32.0,42.0
6,25,34,18,73,0.6,44.0,19.0,16.0,24.0,14.0,35.0,44.0
5,28,13,10,46,0.7,45.0,15.0,37.0,36.0,27.0,32.0,45.0
6,30,25,14,46,0.8,44.0,12.0,25.0,30.0,27.0,30.0,44.0
6,25,35,23,64,0.6,44.0,19.0,15.0,17.0,18.0,35.0,44.0
6,40,49,27,43,0.5,44.0,100.0,1.0,11.0,28.0,38.0,100.0
5,20,28,15,55,0.4,45.0,25.0,22.0,29.0,22.0,40.0,45.0
5,22,32,15,49,0.5,45.0,22.0,18.0,29.0,26.0,38.0,45.0
5,14,21,11,98,0.7,45.0,32.0,29.0,34.0,1.0,32.0,45.0
7,37,46,28,63,0.6,43.0,4.0,4.0,10.0,18.0,35.0,43.0
5,34,50,25,52,0.6,45.0,8.0,100.0,14.0,24.0,35.0,100.0
4,35,49,28,33,0.7,46.0,6.0,1.0,10.0,34.0,32.0,46.0
4,16,35,20,109,0.7,46.0,30.0,15.0,21.0,92.0,32.0,92.0
6,25,61,38,135,0.6,44.0,19.0,94.0,96.0,71.0,35.0,96.0
5,26,56,27,110,0.5,45.0,18.0,97.0,11.0,92.0,38.0,97.0
6,44,62,29,65,0.5,44.0,95.0,94.0,9.0,18.0,38.0,95.0
6,59,51,34,52,0.7,44.0,76.0,100.0,1.0,24.0,32.0,100.0
5,56,36,25,31,0.7,45.0,80.0,14.0,14.0,34.0,32.0,80.0
7,61,54,40,18,0.8,43.0,74.0,98.0,94.0,41.0,30.0,98.0
4,29,40,26,43,0.7,46.0,14.0,10.0,13.0,28.0,32.0,46.0
6,25,44,25,88,0.6,44.0,19.0,6.0,14.0,6.0,35.0,44.0
6,25,40,22,96,0.7,44.0,19.0,10.0,19.0,2.0,32.0,44.0
4,25,45,25,93,0.6,46.0,19.0,5.0,14.0,4.0,35.0,46.0
4,19,40,19,83,0.5,46.0,26.0,10.0,23.0,8.0,38.0,46.0
3,21,35,20,51,0.5,47.0,24.0,15.0,21.0,24.0,38.0,47.0
2,21,33,16,45,0.5,48.0,24.0,17.0,27.0,28.0,38.0,48.0
2,30,23,12,36,0.6,48.0,12.0,27.0,33.0,32.0,35.0,48.0
3,32,40,16,47,0.6,47.0,10.0,10.0,27.0,26.0,35.0,47.0
3,27,16,9,4,0.7,47.0,16.0,34.0,37.0,48.0,32.0,48.0
4,24,23,13,2,0.6,46.0,20.0,27.0,31.0,49.0,35.0,49.0
6,30,30,12,3,0.6,44.0,12.0,20.0,33.0,48.0,35.0,48.0
7,41,82,36,3,0.8,43.0,99.0,84.0,99.0,48.0,30.0,99.0
6,37,39,23,4,0.8,44.0,4.0,11.0,17.0,48.0,30.0,48.0
6,30,22,12,24,0.7,44.0,12.0,28.0,33.0,38.0,32.0,44.0
6,32,18,14,34,0.6,44.0,10.0,32.0,30.0,33.0,35.0,44.0
6,38,17,12,4,0.6,44.0,2.0,33.0,33.0,48.0,35.0,48.0
7,46,38,21,33,0.7,43.0,92.0,12.0,20.0,34.0,32.0,92.0
12,67,74,47,88,1.0,38.0,66.0,88.0,85.0,6.0,25.0,88.0
12,61,77,49,211,0.9,38.0,74.0,86.0,82.0,104.0,28.0,104.0
11,51,58,26,114,0.6,39.0,86.0,96.0,13.0,88.0,35.0,96.0
10,45,66,34,64,0.7,40.0,94.0,92.0,1.0,18.0,32.0,94.0
10,19,27,8,112,0.6,40.0,26.0,23.0,39.0,90.0,35.0,90.0
11,38,45,22,126,0.5,39.0,2.0,5.0,19.0,78.0,38.0,78.0
19,73,79,53,174,0.8,31.0,59.0,86.0,78.0,137.0,30.0,137.0
17,65,100,66,217,0.8,33.0,69.0,75.0,61.0,198.0,30.0,198.0
12,26,57,34,140,0.6,38.0,18.0,96.0,1.0,67.0,35.0,96.0
11,35,52,24,95,0.6,39.0,6.0,99.0,16.0,2.0,35.0,99.0
10,25,53,25,95,0.6,40.0,19.0,98.0,14.0,2.0,35.0,98.0
10,25,51,23,82,0.6,40.0,19.0,100.0,17.0,9.0,35.0,100.0
7,20,37,15,78,0.7,43.0,25.0,13.0,29.0,11.0,32.0,43.0
2,15,33,14,68,0.7,48.0,31.0,17.0,30.0,16.0,32.0,48.0
3,29,19,8,27,0.9,47.0,14.0,31.0,39.0,36.0,28.0,47.0
4,32,24,9,28,0.9,46.0,10.0,26.0,37.0,36.0,28.0,46.0
5,31,29,12,53,0.7,45.0,11.0,21.0,33.0,24.0,32.0,45.0
9,49,57,38,92,0.8,41.0,89.0,96.0,96.0,4.0,30.0,96.0
11,39,63,43,154,0.8,39.0,1.0,94.0,90.0,55.0,30.0,94.0
12,48,69,39,177,0.8,38.0,90.0,90.0,95.0,135.0,30.0,135.0
12,38,70,40,237,0.7,38.0,2.0,90.0,94.0,178.0,32.0,178.0
8,21,55,21,147,0.5,42.0,24.0,98.0,20.0,61.0,38.0,98.0
9,27,56,24,156,0.6,41.0,16.0,97.0,16.0,53.0,35.0,97.0
8,14,37,16,97,0.6,42.0,32.0,13.0,27.0,2.0,35.0,42.0
9,13,38,17,91,0.6,41.0,34.0,12.0,26.0,4.0,35.0,41.0
7,11,35,14,118,0.6,43.0,36.0,15.0,30.0,85.0,35.0,85.0
5,9,28,12,112,0.5,45.0,39.0,22.0,33.0,90.0,38.0,90.0
4,9,34,7,84,0.5,46.0,39.0,16.0,40.0,8.0,38.0,46.0
3,11,22,7,63,0.5,47.0,36.0,28.0,40.0,18.0,38.0,47.0
3,8,20,5,56,0.5,47.0,40.0,30.0,43.0,22.0,38.0,47.0
3,8,18,4,51,0.5,47.0,40.0,32.0,44.0,24.0,38.0,47.0
2,11,23,6,59,0.5,48.0,36.0,27.0,41.0,20.0,38.0,48.0
2,17,25,8,86,0.6,48.0,29.0,25.0,39.0,7.0,35.0,48.0
3,40,44,23,159,0.8,47.0,100.0,6.0,17.0,51.0,30.0,100.0
3,29,41,21,118,0.9,47.0,14.0,9.0,20.0,85.0,28.0,85.0
2,18,41,22,87,0.7,48.0,28.0,9.0,19.0,6.0,32.0,48.0
2,13,34,13,85,0.7,48.0,34.0,16.0,31.0,8.0,32.0,48.0
3,21,32,11,104,0.6,47.0,24.0,18.0,34.0,97.0,35.0,97.0
2,27,34,18,120,0.7,48.0,16.0,16.0,24.0,83.0,32.0,83.0
4,32,32,16,104,0.8,46.0,10.0,18.0,27.0,97.0,30.0,97.0
5,35,42,24,191,0.8,45.0,6.0,8.0,16.0,122.0,30.0,122.0
4,28,28,15,75,0.6,46.0,15.0,22.0,29.0,12.0,35.0,46.0
3,28,29,16,94,0.7,47.0,15.0,21.0,27.0,3.0,32.0,47.0
6,37,38,20,146,0.8,44.0,4.0,12.0,21.0,62.0,30.0,62.0
6,30,32,16,84,0.7,44.0,12.0,18.0,27.0,8.0,32.0,44.0
5,32,28,12,59,0.7,45.0,10.0,22.0,33.0,20.0,32.0,45.0
4,20,30,15,121,0.7,46.0,25.0,20.0,29.0,82.0,32.0,82.0
4,36,37,22,79,0.9,46.0,5.0,13.0,19.0,10.0,28.0,46.0
6,65,67,37,105,1.0,44.0,69.0,92.0,98.0,96.0,25.0,98.0
3,24,36,21,78,0.7,47.0,20.0,14.0,20.0,11.0,32.0,47.0
3,34,29,13,72,0.7,47.0,8.0,21.0,31.0,14.0,32.0,47.0
3,34,30,14,46,0.7,47.0,8.0,20.0,30.0,27.0,32.0,47.0
4,34,29,13,24,0.8,46.0,8.0,21.0,31.0,38.0,30.0,46.0
7,32,24,9,18,0.8,43.0,10.0,26.0,37.0,41.0,30.0,43.0
6,19,29,11,56,0.7,44.0,26.0,21.0,34.0,22.0,32.0,44.0
6,14,22,5,50,0.5,44.0,32.0,28.0,43.0,25.0,38.0,44.0
6,21,21,7,56,0.6,44.0,24.0,29.0,40.0,22.0,35.0,44.0
5,37,28,12,71,0.7,45.0,4.0,22.0,33.0,14.0,32.0,45.0
4,30,28,14,30,0.7,46.0,12.0,22.0,30.0,35.0,32.0,46.0
5,24,29,11,38,0.7,45.0,20.0,21.0,34.0,31.0,32.0,45.0
6,20,26,9,61,0.6,44.0,25.0,24.0,37.0,20.0,35.0,44.0
9,30,29,9,76,0.7,41.0,12.0,21.0,37.0,12.0,32.0,41.0
9,14,22,6,91,0.5,41.0,32.0,28.0,41.0,4.0,38.0,41.0
9,18,21,6,98,0.5,41.0,28.0,29.0,41.0,1.0,38.0,41.0
9,30,31,9,110,0.5,41.0,12.0,19.0,37.0,92.0,38.0,92.0
7,14,12,3,57,0.5,43.0,32.0,38.0,46.0,22.0,38.0,46.0
7,18,23,4,66,0.5,43.0,28.0,27.0,44.0,17.0,38.0,44.0
7,14,18,3,54,0.4,43.0,32.0,32.0,46.0,23.0,40.0,46.0
7,12,16,3,59,0.4,43.0,35.0,34.0,46.0,20.0,40.0,46.0
8,13,19,4,56,0.4,42.0,34.0,31.0,44.0,22.0,40.0,44.0
7,12,18,3,63,0.4,43.0,35.0,32.0,46.0,18.0,40.0,46.0
8,11,19,4,75,0.4,42.0,36.0,31.0,44.0,12.0,40.0,44.0
8,10,18,4,56,0.4,42.0,38.0,32.0,44.0,22.0,40.0,44.0
6,10,23,4,66,0.4,44.0,38.0,27.0,44.0,17.0,40.0,44.0
5,11,25,7,80,0.4,45.0,36.0,25.0,40.0,10.0,40.0,45.0
5,12,25,7,76,0.5,45.0,35.0,25.0,40.0,12.0,38.0,45.0
3,4,21,5,48,0.4,47.0,45.0,29.0,43.0,26.0,40.0,47.0
4,5,21,4,52,0.4,46.0,44.0,29.0,44.0,24.0,40.0,46.0
4,6,15,3,54,0.4,46.0,42.0,35.0,46.0,23.0,40.0,46.0
5,8,17,4,60,0.4,45.0,40.0,33.0,44.0,20.0,40.0,45.0
5,12,20,4,90,0.4,45.0,35.0,30.0,44.0,5.0,40.0,45.0
5,13,22,6,116,0.4,45.0,34.0,28.0,41.0,87.0,40.0,87.0
4,15,18,3,54,0.3,46.0,31.0,32.0,46.0,23.0,42.0,46.0
4,12,17,4,70,0.4,46.0,35.0,33.0,44.0,15.0,40.0,46.0
3,22,23,8,43,0.5,47.0,22.0,27.0,39.0,28.0,38.0,47.0
3,23,23,7,35,0.5,47.0,21.0,27.0,40.0,32.0,38.0,47.0
3,14,22,6,68,0.4,47.0,32.0,28.0,41.0,16.0,40.0,47.0
5,12,20,5,75,0.5,45.0,35.0,30.0,43.0,12.0,38.0,45.0
6,14,24,5,71,0.5,44.0,32.0,26.0,43.0,14.0,38.0,44.0
7,14,27,8,68,0.5,43.0,32.0,23.0,39.0,16.0,38.0,43.0
6,12,28,9,74,0.5,44.0,35.0,22.0,37.0,13.0,38.0,44.0
6,10,27,6,59,0.5,44.0,38.0,23.0,41.0,20.0,38.0,44.0
6,7,24,6,67,0.5,44.0,41.0,26.0,41.0,16.0,38.0,44.0
6,7,20,3,72,0.5,44.0,41.0,30.0,46.0,14.0,38.0,46.0
7,14,22,7,109,0.5,43.0,32.0,28.0,40.0,92.0,38.0,92.0
8,16,30,9,164,0.5,42.0,30.0,20.0,37.0,146.0,38.0,146.0
7,11,22,6,105,0.5,43.0,36.0,28.0,41.0,96.0,38.0,96.0
8,11,19,4,72,0.4,42.0,36.0,31.0,44.0,14.0,40.0,44.0
7,11,19,3,52,0.5,43.0,36.0,31.0,46.0,24.0,38.0,46.0
9,11,19,3,64,0.5,41.0,36.0,31.0,46.0,18.0,38.0,46.0
9,10,18,3,70,0.5,41.0,38.0,32.0,46.0,15.0,38.0,46.0
6,9,17,3,69,0.5,44.0,39.0,33.0,46.0,16.0,38.0,46.0
4,10,18,5,98,0.5,46.0,38.0,32.0,43.0,1.0,38.0,46.0
4,16,21,7,98,0.5,46.0,30.0,29.0,40.0,1.0,38.0,46.0
5,13,23,6,128,0.5,45.0,34.0,27.0,41.0,77.0,38.0,77.0
6,14,27,7,137,0.5,44.0,32.0,23.0,40.0,69.0,38.0,69.0
6,12,25,8,130,0.5,44.0,35.0,25.0,39.0,75.0,38.0,75.0
6,9,22,6,101,0.5,44.0,39.0,28.0,41.0,99.0,38.0,99.0
5,14,22,6,84,0.5,45.0,32.0,28.0,41.0,8.0,38.0,45.0
5,22,27,8,115,0.5,45.0,22.0,23.0,39.0,88.0,38.0,88.0
5,29,32,12,124,0.6,45.0,14.0,18.0,33.0,80.0,35.0,80.0
6,26,22,8,42,0.6,44.0,18.0,28.0,39.0,29.0,35.0,44.0
4,20,14,3,34,0.5,46.0,25.0,36.0,46.0,33.0,38.0,46.0
3,25,15,5,38,0.7,47.0,19.0,35.0,43.0,31.0,32.0,47.0
4,21,19,6,84,0.7,46.0,24.0,31.0,41.0,8.0,32.0,46.0
3,22,14,3,19,0.7,47.0,22.0,36.0,46.0,40.0,32.0,47.0
4,19,18,6,79,0.6,46.0,26.0,32.0,41.0,10.0,35.0,46.0
4,17,25,7,58,0.6,46.0,29.0,25.0,40.0,21.0,35.0,46.0
4,17,23,6,88,0.5,46.0,29.0,27.0,41.0,6.0,38.0,46.0
7,13,27,10,140,0.6,43.0,34.0,23.0,36.0,67.0,35.0,67.0
6,12,22,8,115,0.5,44.0,35.0,28.0,39.0,88.0,38.0,88.0
4,12,20,4,59,0.6,46.0,35.0,30.0,44.0,20.0,35.0,46.0
2,18,14,4,41,0.5,48.0,28.0,36.0,44.0,30.0,38.0,48.0
3,15,16,4,35,0.5,47.0,31.0,34.0,44.0,32.0,38.0,47.0
4,20,22,8,54,0.6,46.0,25.0,28.0,39.0,23.0,35.0,46.0
5,19,24,7,64,0.6,45.0,26.0,26.0,40.0,18.0,35.0,45.0
5,17,20,6,76,0.5,45.0,29.0,30.0,41.0,12.0,38.0,45.0
5,31,29,13,78,0.5,45.0,11.0,21.0,31.0,11.0,38.0,45.0
4,14,13,3,43,0.4,46.0,32.0,37.0,46.0,28.0,40.0,46.0
5,19,25,10,62,0.5,45.0,26.0,25.0,36.0,19.0,38.0,45.0
8,28,51,28,198,0.6,42.0,15.0,100.0,10.0,115.0,35.0,115.0
7,21,54,37,218,0.6,43.0,24.0,98.0,98.0,197.0,35.0,197.0
8,17,42,26,180,0.5,42.0,29.0,8.0,13.0,132.0,38.0,132.0
7,13,32,17,126,0.4,43.0,34.0,18.0,26.0,78.0,40.0,78.0
8,12,27,11,112,0.5,42.0,35.0,23.0,34.0,90.0,38.0,90.0
7,16,24,10,92,0.5,43.0,30.0,26.0,36.0,4.0,38.0,43.0
7,31,37,23,169,0.6,43.0,11.0,13.0,17.0,142.0,35.0,142.0
8,30,47,33,201,0.7,42.0,12.0,3.0,3.0,113.0,32.0,113.0
9,29,53,42,186,0.7,41.0,14.0,98.0,91.0,126.0,32.0,126.0
7,24,59,42,188,0.8,43.0,20.0,96.0,91.0,125.0,30.0,125.0
6,24,47,32,156,0.7,44.0,20.0,3.0,4.0,53.0,32.0,53.0
10,34,56,40,178,0.8,40.0,8.0,97.0,94.0,134.0,30.0,134.0
10,38,70,50,206,0.9,40.0,2.0,90.0,81.0,108.0,28.0,108.0
10,37,79,54,223,0.9,40.0,4.0,86.0,76.0,192.0,28.0,192.0
8,26,60,45,136,0.9,42.0,18.0,95.0,88.0,70.0,28.0,95.0
6,35,36,25,84,0.7,44.0,6.0,14.0,14.0,8.0,32.0,44.0
8,32,39,27,166,0.6,42.0,10.0,11.0,11.0,145.0,35.0,145.0
6,25,25,10,53,0.6,44.0,19.0,25.0,36.0,24.0,35.0,44.0
5,32,21,7,44,0.6,45.0,10.0,29.0,40.0,28.0,35.0,45.0
8,39,29,14,57,0.7,42.0,1.0,21.0,30.0,22.0,32.0,42.0
8,28,32,15,84,0.6,42.0,15.0,18.0,29.0,8.0,35.0,42.0
8,27,27,9,60,0.6,42.0,16.0,23.0,37.0,20.0,35.0,42.0
6,29,25,12,143,0.6,44.0,14.0,25.0,33.0,64.0,35.0,64.0
6,34,32,20,158,0.7,44.0,8.0,18.0,21.0,52.0,32.0,52.0
5,30,28,17,111,0.7,45.0,12.0,22.0,26.0,91.0,32.0,91.0
6,49,30,18,25,0.8,44.0,89.0,20.0,24.0,38.0,30.0,89.0
9,31,34,13,54,0.7,41.0,11.0,16.0,31.0,23.0,32.0,41.0
7,25,29,8,76,0.6,43.0,19.0,21.0,39.0,12.0,35.0,43.0
6,30,23,8,34,0.6,44.0,12.0,27.0,39.0,33.0,35.0,44.0
5,28,18,6,27,0.6,45.0,15.0,32.0,41.0,36.0,35.0,45.0
6,24,27,10,87,0.6,44.0,20.0,23.0,36.0,6.0,35.0,44.0
6,24,23,7,60,0.5,44.0,20.0,27.0,40.0,20.0,38.0,44.0
6,20,28,11,92,0.6,44.0,25.0,22.0,34.0,4.0,35.0,44.0
6,29,31,14,96,0.6,44.0,14.0,19.0,30.0,2.0,35.0,44.0
7,34,35,14,108,0.8,43.0,8.0,15.0,30.0,93.0,30.0,93.0
8,42,44,19,120,0.8,42.0,98.0,6.0,23.0,83.0,30.0,98.0
7,48,43,29,90,0.7,43.0,90.0,7.0,9.0,5.0,32.0,90.0
7,47,39,20,50,0.8,43.0,91.0,11.0,21.0,25.0,30.0,91.0
8,51,51,28,115,0.7,42.0,86.0,100.0,10.0,88.0,32.0,100.0
10,44,53,31,118,0.8,40.0,95.0,98.0,6.0,85.0,30.0,98.0
8,33,34,19,106,0.7,42.0,9.0,16.0,23.0,95.0,32.0,95.0
8,18,27,13,138,0.6,42.0,28.0,23.0,31.0,68.0,35.0,68.0
8,14,37,18,155,0.5,42.0,32.0,13.0,24.0,54.0,38.0,54.0
6,25,40,18,125,0.6,44.0,19.0,10.0,24.0,79.0,35.0,79.0
6,24,51,30,182,0.7,44.0,20.0,100.0,7.0,130.0,32.0,130.0
6,26,43,23,65,0.8,44.0,18.0,7.0,17.0,18.0,30.0,44.0
5,24,33,13,80,0.7,45.0,20.0,17.0,31.0,10.0,32.0,45.0
5,19,26,11,72,0.6,45.0,26.0,24.0,34.0,14.0,35.0,45.0
5,19,26,10,70,0.6,45.0,26.0,24.0,36.0,15.0,35.0,45.0
7,22,41,22,109,0.6,43.0,22.0,9.0,19.0,92.0,35.0,92.0
8,39,56,29,151,0.6,42.0,1.0,97.0,9.0,58.0,35.0,97.0
9,50,66,36,174,0.7,41.0,88.0,92.0,99.0,137.0,32.0,137.0
